DomainID	Chr	StartLoc	EndLoc	Radius(nm)	EpiClass
233	2R	1904150	1975049	66.39	Active
234	2R	1975050	2500749	129.46	HP1_centromeric
235	2R	2500750	2520149	43.1	Active
236	2R	2520150	2558049	53.88	Active
237	2R	2558050	2646549	71.48	Active
238	2R	2646550	2696949	59.25	Null
239	2R	2696950	2900549	94.37	Null
240	2R	2900550	2957449	61.7	Active
241	2R	2957450	3271649	109.05	Null
242	2R	3271650	3427049	86.24	PcG
243	2R	3427050	3478649	59.72	Active
244	2R	3478650	3618049	83.17	Active
245	2R	3618050	3672649	60.85	Active
246	2R	3672650	3715249	56.02	Active
247	2R	3715250	3804049	71.56	Null
248	2R	3804050	3827649	46.01	Active
249	2R	3827650	3844049	40.75	Null
250	2R	3844050	3877249	51.55	Active
251	2R	3877250	3902649	47.15	PcG
252	2R	3902650	3955049	60.03	PcG
253	2R	3955050	4044249	71.67	Active
254	2R	4044250	4062349	42.12	Active
255	2R	4062350	4487249	120.59	Null
256	2R	4487250	4520149	51.4	Active
257	2R	4520150	4553349	51.55	PcG
258	2R	4553350	4621349	65.47	Active
259	2R	4621350	4779049	86.66	Null
260	2R	4779050	4836449	61.88	Active
261	2R	4836450	4982849	84.54	Null
262	2R	4982850	5025449	56.02	Active
263	2R	5025450	5078349	60.22	Active
264	2R	5078350	5287949	95.28	PcG
265	2R	5287950	5313349	47.15	Active
266	2R	5313350	5332849	43.17	Active
267	2R	5332850	5429149	73.52	Null
268	2R	5429150	5480449	59.6	Active
269	2R	5480450	5580949	74.58	Null
270	2R	5580950	5708249	80.69	Null
271	2R	5708250	5751849	56.46	Active
272	2R	5751850	5844149	72.49	Active
273	2R	5844150	5913049	65.76	PcG
274	2R	5913050	5935649	45.35	Active
275	2R	5935650	5986749	59.52	Active
276	2R	5986750	6010949	46.4	Active
277	2R	6010950	6315649	107.94	Null
278	2R	6315650	6365549	59.05	Active
279	2R	6365550	6446649	69.43	Null
280	2R	6446650	6696549	101.04	Null
281	2R	6696550	6762049	64.66	Active
282	2R	6762050	6788049	47.52	Active
283	2R	6788050	7020249	98.59	Null
284	2R	7020250	7056749	53.21	Null
285	2R	7056750	7111049	60.74	Null
286	2R	7111050	7166549	61.19	Null
287	2R	7166550	7194849	48.88	Active
288	2R	7194850	7242949	58.34	Null
289	2R	7242950	7338949	73.45	Null
290	2R	7338950	7505049	88.18	PcG
291	2R	7505050	7538049	51.45	Active
292	2R	7538050	7877149	111.86	Null
293	2R	7877150	7931949	60.93	Active
294	2R	7931950	8026549	73.09	Null
295	2R	8026550	8088449	63.45	Active
296	2R	8088450	8207049	78.81	Null
297	2R	8207050	8225549	42.42	Active
298	2R	8225550	8313649	71.38	Null
299	2R	8313650	8324749	35.78	Active
300	2R	8324750	8340049	39.82	Null
301	2R	8340050	8396249	61.44	Active
302	2R	8396250	8500949	75.6	Active
303	2R	8500950	8523349	45.22	Active
304	2R	8523350	8644149	79.3	Null
305	2R	8644150	8756049	77.3	Null
306	2R	8756050	8802749	57.76	PcG
307	2R	8802750	8931949	81.09	PcG
308	2R	8931950	9019949	71.35	Null
309	2R	9019950	9056749	53.35	Active
310	2R	9056750	9085449	49.11	Null
311	2R	9085450	9128749	56.33	Active
312	2R	9128750	9318949	92.25	Null
313	2R	9318950	9338649	43.32	Active
314	2R	9338650	9370049	50.61	Null
315	2R	9370050	9395249	47.03	Active
316	2R	9395250	9443849	58.54	Active
317	2R	9443850	9463849	43.54	Null
318	2R	9463850	9479249	39.91	Null
319	2R	9479250	9710549	98.47	Null
320	2R	9710550	9748549	53.93	Active
321	2R	9748550	9828249	69.03	Null
322	2R	9828250	9850049	44.81	Active
323	2R	9850050	9879049	49.28	Active
324	2R	9879050	10033449	86.05	Null
325	2R	10033450	10061849	48.94	Active
326	2R	10061850	10104549	56.07	PcG
327	2R	10104550	10158549	60.63	Active
328	2R	10158550	10191449	51.4	Null
329	2R	10191450	10247349	61.33	Null
330	2R	10247350	10367449	79.14	PcG
331	2R	10367450	10511549	84.1	Active
332	2R	10511550	10656849	84.33	Null
333	2R	10656850	10741749	70.5	PcG
334	2R	10741750	10758249	40.84	Active
335	2R	10758250	10848949	72.07	Null
336	2R	10848950	10881249	51.08	Active
337	2R	10881250	10997549	78.3	Null
338	2R	10997550	11033449	52.92	Null
339	2R	11033450	11087249	60.55	Null
340	2R	11087250	11196949	76.79	Null
341	2R	11196950	11236249	54.54	PcG
342	2R	11236250	11268449	51.03	Active
343	2R	11268450	11398949	81.36	Null
344	2R	11398950	11419349	43.83	Active
345	2R	11419350	11461249	55.71	Active
346	2R	11461250	11707449	100.54	Null
347	2R	11707450	11736449	49.28	PcG
348	2R	11736450	11820949	70.39	Null
349	2R	11820950	11984449	87.71	Active
350	2R	11984450	12026249	55.67	Active
351	2R	12026250	12067749	55.54	Active
352	2R	12067750	12091749	46.27	Active
353	2R	12091750	12107949	40.59	Null
354	2R	12107950	12224649	78.39	Active
355	2R	12224650	12235649	35.67	Active
356	2R	12235650	12458349	97.23	Null
357	2R	12458350	12738149	104.92	Null
358	2R	12738150	12756949	42.65	Active
359	2R	12756950	12891949	82.29	Null
360	2R	12891950	12986249	73.01	Active
361	2R	12986250	13281149	106.77	Null
362	2R	13281150	13346249	64.53	Active
363	2R	13346250	13480349	82.1	Active
364	2R	13480350	13551949	66.61	Null
365	2R	13551950	13587049	52.52	Active
366	2R	13587050	13682149	73.22	Active
367	2R	13682150	13737049	60.96	PcG
368	2R	13737050	13758949	44.88	Active
369	2R	13758950	14013949	101.72	Null
370	2R	14013950	14072049	62.13	Active
371	2R	14072050	14285249	95.83	Null
372	2R	14285250	14299849	39.2	Active
373	2R	14299850	14332749	51.4	Active
374	2R	14332750	14440249	76.27	Null
375	2R	14440250	14499849	62.66	Null
376	2R	14499850	14526649	48	Active
377	2R	14526650	14547049	43.83	Null
378	2R	14547050	14575749	49.11	Null
379	2R	14575750	14600149	46.52	Active
380	2R	14600150	14707049	76.13	Null
381	2R	14707050	14746149	54.44	Active
382	2R	14746150	15009249	102.79	Null
383	2R	15009250	15030449	44.39	Active
384	2R	15030450	15066949	53.21	Null
385	2R	15066950	15116249	58.82	Null
386	2R	15116250	15339649	97.33	Active
387	2R	15339650	15392049	60.03	Active
388	2R	15392050	15614049	97.13	Null
389	2R	15614050	16437349	150.34	Null
390	2R	16437350	16560449	79.8	Active
391	2R	16560450	16770549	95.36	Null
392	2R	16770550	16863449	72.65	PcG
393	2R	16863450	16883949	43.9	PcG
394	2R	16883950	16912949	49.28	Active
395	2R	16912950	16944649	50.77	Null
396	2R	16944650	16962649	42.04	Active
397	2R	16962650	17031449	65.73	Active
398	2R	17031450	17047149	40.17	Active
399	2R	17047150	17139749	72.57	Active
400	2R	17139750	17181549	55.67	Null
401	2R	17181550	17269449	71.32	Active
402	2R	17269450	17367749	74.03	Null
403	2R	17367750	17408649	55.27	Active
404	2R	17408650	17500549	72.39	Null
405	2R	17500550	17575849	67.74	Active
406	2R	17575850	17611249	52.67	Active
407	2R	17611250	17948749	111.68	Null
408	2R	17948750	17966849	42.12	Active
409	2R	17966850	18184549	96.5	PcG
410	2R	18184550	18204549	43.54	Null
411	2R	18204550	18261749	61.8	Null
412	2R	18261750	18298549	53.35	Active
413	2R	18298550	18316049	41.64	Active
414	2R	18316050	18449849	82.04	Null
415	2R	18449850	18483849	51.97	Null
416	2R	18483850	18530749	57.85	Active
417	2R	18530750	18558149	48.36	Active
418	2R	18558150	18587649	49.56	Active
419	2R	18587650	18684949	73.78	Null
420	2R	18684950	18695249	34.9	Active
421	2R	18695250	18825349	81.28	PcG
422	2R	18825350	18966849	83.59	PcG
423	2R	18966850	19241949	104.32	Null
424	2R	19241950	19440449	93.57	Active
425	2R	19440450	19453249	37.52	Active
426	2R	19453250	19505149	59.83	Null
427	2R	19505150	19542149	53.45	PcG
428	2R	19542150	19598549	61.52	Active
429	2R	19598550	19636449	53.88	Null
430	2R	19636450	19731249	73.14	Null
431	2R	19731250	19916349	91.42	Active
432	2R	19916350	19956749	55.04	Active
433	2R	19956750	20026049	65.89	Active
434	2R	20026050	20223949	93.48	Active
435	2R	20223950	20446649	97.23	PcG
436	2R	20446650	20556049	76.72	Active
437	2R	20556050	20631149	67.68	Null
438	2R	20631150	20826449	93.07	PcG
439	3L	40150	131049	72.12	HP1_centromeric
440	3L	131050	145249	38.84	HP1_centromeric
441	3L	145250	175649	50.06	Active
442	3L	175650	264549	71.59	Active
