TAD_ID,Genomic length of genes
643,21899
644,61683
645,15809
646,176669
647,153374
648,89443
649,138953
650,4836
651,58836
652,149558
653,15084
654,64621
655,61507
656,317089
657,108109
658,213194
659,148854
660,82222
661,13998
662,117361
663,231523
664,177500
665,180756
666,24625
667,51782
668,9162
669,30528
670,69575
671,48086
672,79665
673,2076
674,12442
675,89404
676,86535
677,54014
678,95103
679,5742
680,43817
681,18058
682,26580
683,32862
684,61808
685,646268
686,41380
687,46627
688,129166
689,80388
690,145826
691,30144
692,40187
693,61483
694,142257
695,143664
696,68421
697,88282
698,20041
699,35687
700,41135
701,22822
702,38897
703,56720
704,19050
705,16509
706,136352
707,26125
708,27186
709,87019
710,11979
711,130662
712,22005
713,13489
714,35040
715,15180
716,169241
717,66244
718,55611
719,67108
720,15909
721,29857
722,20332
723,50542
724,6635
725,43588
726,23775
727,50385
728,15204
729,26624
730,46518
731,165834
732,25262
733,24520
734,142934
735,89825
736,135699
737,116387
738,19130
739,27811
740,84240
741,9968
742,31808
743,149935
744,65037
745,72142
746,41516
747,46326
748,82314
749,134393
750,65479
751,55884
752,121083
753,75592
754,84682
755,44102
756,44273
757,121352
758,11751
759,43574
760,15541
761,16371
762,20463
763,37071
764,42429
765,19014
766,68606
767,12053
768,14986
769,76384
770,32257
771,123674
772,34789
773,49147
774,126023
775,80240
776,38404
777,32487
778,60564
779,74726
780,23894
781,42333
782,25482
783,38927
784,96884
785,17796
786,44234
787,165468
788,29410
789,86567
790,35848
791,107458
792,51685
793,18425
794,34654
795,63570
796,51534
797,17380
798,38737
799,210405
800,36680
801,95638
802,41907
803,29897
804,150031
805,14656
806,73203
807,10511
808,16788
809,39457
810,34800
811,34991
812,40742
813,273069
814,33187
815,39267
816,39868
817,66634
818,10747
819,131570
820,177839
821,50191
822,49676
823,19074
824,15272
825,40529
826,64393
827,21020
828,28813
829,35775
830,328605
831,144313
832,58999
833,97961
834,47141
835,70047
836,60491
837,140011
838,17682
839,33867
840,76085
841,85931
842,23069
843,103520
844,85325
845,24098
846,28329
847,88369
848,7130
849,61927
850,42915
851,25791
852,59826
853,64511
854,40102
855,1794
856,88723
857,41319
858,10572
859,40698
860,63563
861,15173
862,276478
863,66356
864,19498
865,85790
866,206549
867,183154
868,35777
869,44658
870,2399
871,4545
872,116182
873,0
874,10926
875,44150
876,104535
877,41966
878,96446
879,58904
880,30507
881,65417
882,36084
883,23963
884,53212
885,53521
886,60268
887,117417
888,112619
889,22365
890,76110
891,10827
892,27950
893,159963
894,52218
895,23180
896,15118
897,45428
898,45603
899,34809
900,46752
901,16791
902,200459
903,18862
904,136914
905,33464
906,103709
907,77522
908,18442
909,10780
910,24801
911,55680
912,99415
913,59845
914,153968
915,16708
916,62636
917,13297
918,21335
919,120235
920,37771
921,13753
922,49513
923,125460
924,20338
925,155065
926,7947
927,39691
928,200269
929,113075
930,11223
931,30383
932,5959
933,76900
934,31735
935,58003
936,110994
937,32135
938,83543
939,73911
940,81359
941,4145
942,12040
943,12000
944,88819
945,22875
946,79824
947,149715
948,95236
949,51003
950,107747
951,164100
952,47379
953,17817
954,49348
955,99133
956,100824
957,22019
958,113535
959,65857
960,0
961,35960
962,22813
963,18924
964,42850
965,13403
966,53241
967,63744
968,54327
969,70645
970,41488
971,15033
972,17757
973,36025
974,48494
975,31815
976,40967
977,16635
978,127549
979,11673
980,68111
981,39440
982,26621
983,43266
984,77854
985,5999
986,248475
987,71295
988,33624
989,75309
990,296676
991,100895
992,21290
993,47427
994,18211
995,28520
996,56621
997,81219
998,196759
999,40326
1000,77609
1001,47555
1002,28923
1003,58051
1004,104922
1005,79119
1006,55982
1007,92030
1008,40289
1009,203544
1010,152627
1011,207798
1012,25526
1013,17598
1014,115529
1015,121090
1016,19666
1017,70215
1018,65215
1019,66991
1020,180307
1021,107808
1022,109325
1023,47286
1024,59051
1025,24440
1026,56573
1027,42502
1028,52012
1029,104032
1030,62801
1031,22380
1032,20696
1033,63116
1034,130128
1035,34831
1036,39651
1037,64240
1038,64434
1039,58022
1040,66864
1041,7416
1042,58893
1043,114500
1044,42461
1045,48205
1046,26888
1047,53150
1048,55846
1049,160932
1050,86225
1051,23493
1052,108022
1053,33185
1054,3662
1055,37281
1056,23089
1057,87178
1058,231494
1059,27287
1060,24180
1061,85032
1062,206572
1063,23709
1064,63925
1065,188303
1066,77670
1067,206046
1068,14828
1069,252707
1070,15816
1071,23556
1072,292260
1073,38656
1074,20381
1075,12468
1076,77420
1077,133716
1078,72267
1079,0
1080,17721
1081,72630
1082,51281
1083,131154
1084,205099
1085,54445
1086,30416
1087,33939
1088,91257
1089,71677
1090,168532
1091,47032
1092,27654
1093,11069
1094,17212
1095,23287
1096,7547
1097,146182
1098,52783
1099,96844
1100,28762
1101,215542
1102,250710
1103,183563
1104,105034
1105,71894
1106,121849
1107,40693
1108,35849
1109,27482
1110,108469
1111,87714
1112,32223
1113,93321
1114,151787
1115,16725
1116,55127
1117,48405
1118,24474
1119,8612
1120,110584
1121,27173
1122,76858
1123,69292
1124,146944
1125,2755
