GeneID	Reads
FBgn0039511	0
FBgn0038246	0
FBgn0000239	2568
FBgn0085600	0
FBgn0024913	0
FBgn0036586	0
FBgn0036587	0
FBgn0036584	2
FBgn0036585	0
FBgn0011239	0
FBgn0036583	0
FBgn0036580	430
FBgn0036581	592
FBgn0030797	356
FBgn0036588	0
FBgn0036589	0
FBgn0032805	339
FBgn0032804	2
FBgn0032803	10
FBgn0032801	374
FBgn0032800	211
FBgn0043069	0
FBgn0020643	0
FBgn0032809	2
FBgn0032808	0
FBgn0050178	21
FBgn0050172	2
FBgn0050177	0
FBgn0053437	0
FBgn0037577	0
FBgn0020509	0
FBgn0020508	0
FBgn0020506	11
FBgn0003870	1218
FBgn0030467	1329
FBgn0033437	117
FBgn0030466	1370
FBgn0030465	587
FBgn0053673	0
FBgn0053859	0
FBgn0053858	0
FBgn0032873	700
FBgn0053855	0
FBgn0053854	0
FBgn0053857	0
FBgn0053856	0
FBgn0053851	0
FBgn0053850	0
FBgn0053853	0
FBgn0024555	2880
FBgn0032453	1659
FBgn0035461	153
FBgn0035462	385
FBgn0030276	1911
FBgn0035464	1494
FBgn0035468	6
FBgn0032876	663
FBgn0020640	0
FBgn0030460	523
FBgn0020647	5846
FBgn0020644	0
FBgn0032877	169
FBgn0033602	0
FBgn0033603	0
FBgn0033600	0
FBgn0033601	0
FBgn0033607	834
FBgn0028419	2837
FBgn0028418	12
FBgn0028416	0
FBgn0028415	0
FBgn0033609	1294
FBgn0028412	0
FBgn0028411	339
FBgn0028410	0
FBgn0044050	3
FBgn0024889	2254
FBgn0024887	456
FBgn0024332	2999
FBgn0024330	498
FBgn0030274	1168
FBgn0035604	0
FBgn0035607	0
FBgn0035600	5360
FBgn0035601	4900
FBgn0035602	629
FBgn0035603	515
FBgn0035608	7341
FBgn0015568	10
FBgn0030314	486
FBgn0036219	0
FBgn0030275	7
FBgn0034471	0
FBgn0036859	0
FBgn0003720	0
FBgn0003721	7504
FBgn0030607	584
FBgn0030606	1946
FBgn0031327	4
FBgn0052100	149
FBgn0052102	0
FBgn0052103	6393
FBgn0052104	394
FBgn0052105	0
FBgn0052106	6
