1	34344
2	23353
3	14039
4	98530
5	21336
6	14526
7	14131
8	36500
9	5471
10	6119
11	9285
12	6908
13	3514
14	31071
15	14486
16	29481
17	3228
18	1233
19	11880
20	196
21	4021
22	13146
23	1493
24	7689
25	5872
26	2114
27	1730
28	3681
29	1822
30	26681
31	12777
32	6918
33	49777
34	408
35	117
36	1985
37	1323
38	8946
39	564
40	4427
41	1272
42	0
43	2803
44	2215
45	1307
46	25942
47	21
48	5950
49	42312
50	1193
51	162
52	3968
53	13519
54	9361
55	15669
56	29850
57	7468
58	3772
59	2422
60	24977
61	3377
62	1736
63	1891
64	25072
65	41674
66	11787
67	3357
68	7190
69	9949
70	1668
71	20784
72	6869
73	1395
74	147
75	9076
76	16115
77	1982
78	8310
79	0
80	14970
81	22158
82	24211
83	3979
84	7229
85	2405
86	929
87	2868
88	1292
89	193
90	8474
91	4980
92	50
93	0
94	5298
95	7115
96	40977
97	10833
98	3863
99	25870
100	20077
101	30067
102	10191
103	77443
104	9131
105	2626
106	58109
107	45100
108	9233
109	6716
110	7323
111	5649
112	2308
113	17677
114	1292
115	20
116	18994
117	13381
118	8629
119	10110
120	0
121	40086
122	10843
123	34190
124	8009
125	0
126	7076
127	74349
128	15149
129	57371
130	694
131	7499
132	72
133	10957
134	16839
135	32705
136	16175
137	2730
138	5979
139	9436
140	7204
141	11807
142	8086
143	11736
144	9899
145	2778
146	0
147	17889
148	9043
149	810
150	6971
151	3151
152	29099
153	3877
154	19467
155	75738
156	10431
157	13763
158	2157
159	5189
160	197
161	171
162	559
163	5599
164	11074
165	5168
166	1863
167	7822
168	2602
169	5681
170	6421
171	11450
172	937
173	12350
174	12887
175	8103
176	2701
177	708
178	7884
179	12910
180	5350
181	1790
182	4236
183	2596
184	34348
185	422
186	10190
187	4
188	64507
189	4324
190	16824
191	5845
192	2581
193	703
194	27233
195	15835
196	16418
197	1603
198	2093
199	6653
200	16516
201	25525
202	2641
203	9818
204	0
205	301
206	11939
207	5029
208	145
209	18013
210	22207
211	9394
212	4305
213	25695
214	1670
215	3551
216	6414
217	158826
218	97419
219	21817
220	1439
221	175
222	11527
223	12
224	33374
225	54661
226	7
227	11
228	11638
229	29754
230	8034
231	37582
232	34847
233	8363
234	8244
235	46446
236	29364
237	38099
238	5802
239	22015
240	6292
241	16051
242	48466
243	14155
244	17838
245	3899
246	32923
247	1622
248	8566
249	1476
250	17253
251	0
252	32
253	37713
254	6665
255	15762
256	8848
257	1830
258	13247
259	317
260	55176
261	9629
262	19211
263	13203
264	24937
265	2659
266	7981
267	660
268	44441
269	21600
270	2036
271	17396
272	12586
273	16585
274	8979
275	18080
276	34218
277	15383
278	8864
279	16117
280	6859
281	16098
282	8971
283	863
284	2039
285	4015
286	192
287	7639
288	243
289	11736
290	15991
291	2118
292	275407
293	6205
294	1765
295	76437
296	20070
297	5531
298	5968
299	2896
300	619
301	7117
302	18263
303	2074
304	16792
305	16199
306	29824
307	20032
308	10
309	14440
310	3347
311	12566
312	1080
313	3093
314	996
315	16357
316	2142
317	24
318	1085
319	3553
320	11149
321	7625
322	42129
323	20422
324	4548
